sku,name,description,category,information,specifications,price,MSRP,MAP,unit,precision
0RT28,220 Lumen Rechargeable Headlamp,"This rechargeable headlamp can also be used with standard AAA batteries. It's light weight, comfortable, economic, flexible, and gives you 100 yards of visibility in pitch black. It features six light modes and allows you to easily recharge it with a USB or a standard wall plug in. The redesigned switch is easy to use, and is designed to work easily with gloves. It features two energy modes--Energy Saving Mode to help you optimize burning life, as well as Constant Mode that features continuous output.",Lighting Products,"Catalog Page: 9927
220 lumen power
Light modes: low power, mid power, high power, dim, blink, SOS
Can be battery operated (includes 2 AAA batteries)
Battery life: 5 hours
Comes with a standard wall charger and a USB charger
Flexible mount ","Width: 3”
Length: 3”
Height: 3.5”
Depth: 2.5”
Weight: .8 lb.",99.99,89.99,94.99,item,0
1AB92,Credit Card Pin Pad Reader,Choosing the right credit card processing terminal to fit your business needs can help you increase your profits and reduce your processing costs. This credit card reader helps you do just that. Its' easy-to-use ATM style interface accepts PIN-based debit card transactions and swipes traditional payment cards. It also accepts chip cards and features a built-in receipt printer ,Retail Supplies,"Catalog Page: 2976
Performs PIN based debit card transactions 
Accepts chip cards
Prints transaction receipts 
Connectivity: USB (not included)
Large, backlit display
Supports all magnetic stripe cards
Color: Purple","Width: 6”
Height: 3”
Weight: .6 lb.",95,85,90,item,0
1GB82,Women’s Slip-On Clog,"These clogs are designed to deliver all day comfort and lightness. The rubber outsole is slip-resistant and flexible, while the insole is soft and formulated to be stain resistant. The non-marking soles are made to reduce foot and leg fatigue so you can feel comfortable being on your feet all day. They are easily washable and hygienic, and feature holes for ventilation around the foot bed for all-day heat releaf",Medical Apparel,"Catalog Page: 5235
Ultra light material
Anti-fungal and anti-bacterial
Slip resistant 
Removable inner sole
Made with EVA foam
Cooling ventilation holes",,19.99,9.99,14.99,set,0
1GS46,500-watt Work Light,"This powerful, 500-watt work light is a great choice for any job. It emits 7,000 lumens and is great for work sites and home projects. The tempered glass lens with a metal safety grill makes it very portable and easy to carry. It’s easy to attach to any surface and features a grid that allows light to pass through without casting shadows. The durable powder finish also adds durability to the light",Lighting Products,"Catalog Page: 9273
500-watt power
7,000 lumens","Width: 8.5”
Height: 5.5”
Depth: 3.5”
Weight: 5 lb.",24.99,14.99,19.99,item,0
1TB10,Touch Screen Credit Card POS System,"This small and light POS system brings flexibility, functionality, and style to POS and is great for small businesses and traveling retailers. It gives the user full range of standard connectivity ports for retail POS and hospitality applications. With a high screen resolution, a credit card reader, and a receipt printer, it has everything you need from a POS system without the hassle and extra weight",Retail Supplies,"Catalog Page: 4827
Screen size: 7 inches
Maximum resolution: 1024 X 768
Material: plastic
Color: grey
Includes POS software","Width: 8.5”
Length: 8”
Height: 4.5”
Weight: 2 lb.",300,290,295,set,0
2CF67,Industrial Steel Handheld Flashlight,"This flashlight is ideal for harsh work environments and has been approved for use in hazardous working conditions. It is made with stainless steel and is waterproof to 1.5 meters . Its' beam distance is up to 850 feet in pitch black. It features three light modes for energy saving and flexibility: low at 55 lumens, medium at 185 lumens, and high at 580 lumens.It also includes three AAA batteries",Lighting Products,"Catalog Page: 7617
Made with stainless steel
Light modes: low (55 lumens), medium (185 lumens), high (580 lumens)
Battery type: AA (included)
Burn time: 2.5 hours
Beam distance: 850 ft.","Width: 2”
Height: 7.5”
Depth: 1.8”
Weight: .75 lb.",29.99,19.99,24.99,item,0
2EW02,Touchscreen POS System,"This all-inclusive POS system features a 15-inch touchscreen, a credit card pin pad reader, and a receipt printer. The screen has a maximum resolution of 1024 x 768 and is water-resistant. This system gives the user full range of standard connectivity ports for retail POS and hospitality applications. It also features a high-quality and secure, all steel lock-and-key cash box ",Retail Supplies,"Catalog Page: 7292
Touch screen is 15 inches
Maximum resolution: 1024 X 768
Includes power chord, power adapter, VGA signal cable, USB cable
Easily integrated with a variety of POS systems
Cash box material: steel","Width: 9”
Height: 7”
Weight: 5 lb.",469.99,459.99,464.99,set,0
2JD29,Handheld Flashlight,"This lightweight and easy-to-use flashlight produces a broad floor beam, giving you the best beam for most indoor and short distance applications. It is powered by three premium, high-intensity LED lights and gives you 700 feet of visibility. It features three light modes for energy saving and flexibility: low, high, and strobe model. It comes with two alkaline D batteries",Lighting Products,"Catalog Page: 2927
15 ft. shock-resistant
3 modes: low, high, strobe
Battery size: D
Number of batteries: 2
Battery type: alkaline
Batteries included: no
Bulb Type: LED
Burn time: 2 hours
Distance: 700 ft.","Length: 7”
Width: 2.5”
Height: 11” 
Weight: 1 lb.",16.99,6.99,11.99,item,0
2JD90,90-Watt Bright White LED Light Bulb,"This bright, eco-friendly 90-watt bulb is great for a focused light distribution effect. It is dimmable and is an energy efficient replacement for a standard 90-watt halogen. It consumes only 16 watts to produce 1200 lumens in a white color temperature. It is compatible with most LED dimmers and has a total life span of 22.5 years. It works for both indoor and outdoor use, making it ideal for security lighting",Lighting Products,"Catalog Page: 4227
90-watt power
Does not contain mercury
Uses 85% less energy than standard bulb
Dimmable
Life: 22.5 years","Width: 4.75”
Diameter: 4.75”
Depth: 4.75”
Height: 5.5”",24.95,14.95,19.95,item,0
2JV62,Basic Women’s 4-Pocket Black Scrub Set,"This simple, comfortable scrub set comes in a variety of colors. The set features a V-neck top and set-in sleeves. There are two chest pockets for storage. The relaxed-fit, straight-leg pants have a matching drawstring for a comfortable, adjustable, fit. There are two pockets on the side of the pants, and two pockets in the back for extra storage. The comfortable 65/35 polyester/cotton material is suitable for all day wear.",Medical Apparel,"Catalog Page: 7635
65% polyester / 35% cotton
V-neck scrub top
Side vents
Straight leg scrub pant
2 front pockets, 2 back pockets
Runs large",,35.99,25.99,30.99,set,0
